States,Year,"Agriculture, Forestry and Fishing",Mining and Quarrying,Manufacturing,"Electricity, Gas, Water supply & Other utility Services",Construction,"Trade, Repair, Hotels and Restaurants","Transport, Storage, Communication & Services related to Broadcasting",Financial Services,"Real Estate, Ownership of Dwelling & Professional Services",Public Administration,Other Services,TOTAL NSVA at basic prices
ANDHRA PRADESH,2017-18,245516,19220,52639,14217,50692,50021,53974,24364,53212,22083,59089,645027
ANDHRA PRADESH,2018-19,261448,20955,67393,13297,56106,58142,59002,32438,58147,24656,63680,715264
ANDHRA PRADESH,2019-20,294879,18801,66831,18311,58684,63895,62598,35815,63761,29727,78220,791522
ANDHRA PRADESH,2020-21,325757,17499,67391,20724,56953,59002,61381,40765,68893,35823,82869,837059
ANDHRA PRADESH,2021-22,372726,24221,84134,24098,72190,72407,74099,49556,79212,42279,97055,991975
ARUNACHAL PRADESH,2017-18,7100,388,371,1410,2095,999,374,276,486,2698,3467,19664
ARUNACHAL PRADESH,2018-19,8981,407,318,1601,1688,1137,447,374,491,2743,3654,21841
ARUNACHAL PRADESH,2019-20,9866,437,289,1766,1994,1239,481,461,516,3009,4475,24534
ARUNACHAL PRADESH,2020-21,10152,426,315,1819,2034,1023,522,485,549,3378,5245,25950
ASSAM,2017-18,43597,25505,29452,4610,20429,37504,10799,7781,12346,15945,25298,233267
ASSAM,2018-19,46136,30561,31763,4655,19552,42043,11268,8520,12963,13566,28408,249436
ASSAM,2019-20,72937,31386,34256,4658,21953,45033,12736,9863,13823,17977,34699,299319
ASSAM,2020-21,80358,29819,32440,4669,20809,41147,11759,9717,13431,18902,32843,295895
ASSAM,2021-22,87293,33190,36443,5066,22447,45144,12607,10236,14869,20882,37020,325195
BIHAR,2017-18,103996,577,31928,3863,36649,82251,35070,15201,35654,18405,57204,420796
BIHAR,2018-19,105789,1604,30974,5866,41292,91864,39182,21831,38291,19424,69864,465979
BIHAR,2019-20,117426,6157,29241,6450,42331,98101,43991,24415,39547,24539,84709,516906
